Campus,StudyField,Branch,Role,EduLevel,ProgLang,Databases,Platform,WebFramework,Industry,AISearch,AITool,Employment
Tyger Valley Campus,Information Technology,I am a developer by profession,"Developer, desktop or enterprise applications","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C++,Unknown,Unknown,Unknown,Insurance,Unknown,Adrenaline;AWS CodeWhisperer,"Employed, full-time"
Durban Campus,Information Technology,I am a developer by profession,Other (please specify):,Some college/university study without earning a degree,JavaScript,SQL,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Vue.js,Advertising Services,Bing AI;ChatGPT;Google Bard AI,Adrenaline;AWS CodeWhisperer,"Employed, full-time"
Durban Campus,DS,I am a developer by profession,"Developer, embedded applications or devices","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C++,Unknown,Unknown,Unknown,"Information Services, IT, Software Development, or other Technology",ChatGPT,GitHub Copilot;Mintlify,"Employed, full-time"
Pretoria Campus,CS,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Firebase;Vercel,React,Oil & Gas,Unknown,AWS CodeWhisperer,"Employed, full-time"
Midrand Campus,Information Technology,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,SQL,Amazon Web Services (AWS);Linode,React,Oil & Gas,ChatGPT,Adrenaline;GitHub Copilot;Mintlify;Replit Ghostwriter;Synk Code,"Employed, full-time"
Midrand Campus,Information Technology,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,SQL,now Akamai,React,Oil & Gas,ChatGPT,Adrenaline;GitHub Copilot;Mintlify;Replit Ghostwriter;Synk Code,"Employed, full-time"
Pretoria Campus,DS,I am a developer by profession,Research & Development role,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS);Cloudflare,React,Other,ChatGPT;You.com,Whispr AI,"Employed, full-time"
Midrand Campus,CS,I am a developer by profession,"Developer, back-end","Associate degree (A.A., A.S., etc.)",Python,SQL,Unknown,Flask,"Information Services, IT, Software Development, or other Technology",Unknown,Tabnine,"Employed, full-time"
Pretoria Campus,DS,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS,SQL,Unknown,jQuery,Retail and Consumer Services,ChatGPT,Rubber Duck.AI;Synk Code,"Employed, full-time"
Durban Campus,CS,I am a developer by profession,Data scientist or machine learning specialist,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Python,SQL,Amazon Web Services (AWS),Flask,"Information Services, IT, Software Development, or other Technology",Unknown,Adrenaline;AWS CodeWhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine;Whispr AI,"Employed, full-time"
Pretoria Campus,Information Technology,I am a developer by profession,"Developer, back-end","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",C++,Unknown,Unknown,Unknown,Healthcare,ChatGPT,AWS CodeWhisperer;Codeium;GitHub Copilot;Tabnine;Whispr AI,"Employed, full-time"
Pretoria Campus,DS,I am a developer by profession,"Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python,Unknown,Cloudflare;Oracle Cloud Infrastructure (OCI),Unknown,Oil & Gas,Bing AI;ChatGPT,GitHub Copilot;Replit Ghostwriter,"Employed, full-time"
Nelson Mandela Bay Campus,CS,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,SQL,Cloudflare;Microsoft Azure,React,Retail and Consumer Services,ChatGPT,Adrenaline;AWS CodeWhisperer;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI,"Independent contractor, freelancer, or self-employed"
Durban Campus,Information Technology,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Other (please specify):,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,BigQuery,Amazon Web Services (AWS);Google Cloud,Node.js,Retail and Consumer Services,Bing AI;ChatGPT,Adrenaline;Mintlify;Rubber Duck.AI,"Employed, full-time"
Durban Campus,CS,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS),React,Legal Services,ChatGPT,Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine,"Employed, full-time"
Midrand Campus,DS,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,SQL,Amazon Web Services (AWS);Firebase;Google Cloud,React,"Information Services, IT, Software Development, or other Technology",Unknown,GitHub Copilot;Mintlify;Replit Ghostwriter,"Employed, full-time;Independent contractor, freelancer, or self-employed"
Nelson Mandela Bay Campus,CS,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS);Firebase;Google Cloud;Microsoft Azure,React,Insurance,ChatGPT;Phind,GitHub Copilot;Synk Code;Whispr AI,"Employed, full-time;Independent contractor, freelancer, or self-employed"
Durban Campus,CS,I am a developer by profession,Cloud infrastructure engineer,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Rust,Unknown,Amazon Web Services (AWS),React,Wholesale,Unknown,AWS CodeWhisperer;Codeium;GitHub Copilot;Synk Code;Tabnine,"Employed, full-time"
Tyger Valley Campus,DS,I am a developer by profession,"Developer, mobile",Some college/university study without earning a degree,JavaScript,Unknown,Amazon Web Services (AWS),React,Oil & Gas,Unknown,Replit Ghostwriter,"Employed, full-time"
Tyger Valley Campus,CS,I am a developer by profession,"Developer, back-end","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",JavaScript,SQL,Amazon Web Services (AWS);Google Cloud,Solid.js,Legal Services,ChatGPT,Tabnine;Whispr AI,"Employed, full-time"
Pretoria Campus,CS,I am a developer by profession,"Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",SQL,SQL,Microsoft Azure,ASP.NET;jQuery,Legal Services,Unknown,Adrenaline;GitHub Copilot;Synk Code,"Employed, full-time"
Durban Campus,DS,"I used to be a developer by profession, but no longer am",Other (please specify):,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Unknown,Unknown,Other,Unknown,Adrenaline;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI,"Employed, full-time"
Tyger Valley Campus,DS,I code primarily as a hobby,Other (please specify):,Some college/university study without earning a degree,Rust,SQL,Vultr,Unknown,"Information Services, IT, Software Development, or other Technology",ChatGPT,AWS CodeWhisperer;Replit Ghostwriter,"Not employed, but looking for work"
Nelson Mandela Bay Campus,CS,I am a developer by profession,"Developer, embedded applications or devices","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python,SQL,Microsoft Azure;OpenShift,Unknown,Oil & Gas,Bing AI;ChatGPT,AWS CodeWhisperer;Codeium;GitHub Copilot,"Employed, full-time"
Midrand Campus,DS,I am a developer by profession,"Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Google Cloud;Netlify;Vercel,React,Wholesale,Unknown,Codeium,"Employed, full-time"
Durban Campus,Information Technology,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,Firebase Realtime Database,Firebase,React,Higher Education,ChatGPT,GitHub Copilot;Whispr AI,"Employed, full-time"
Midrand Campus,DS,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Microsoft Azure,React,Higher Education,Bing AI,AWS CodeWhisperer;Codeium;GitHub Copilot;Tabnine;Whispr AI,"Employed, full-time"
Nelson Mandela Bay Campus,DS,I am a developer by profession,Student,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,SQL,Unknown,Svelte,"Manufacturing, Transportation, or Supply Chain",WolframAlpha,AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter,"Student, full-time;Employed, part-time"
Durban Campus,CS,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS),React,"Manufacturing, Transportation, or Supply Chain",ChatGPT,AWS CodeWhisperer;Replit Ghostwriter;Rubber Duck.AI;Tabnine,"Employed, full-time"
Durban Campus,Information Technology,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Rust;TypeScript,SQL,Amazon Web Services (AWS);Fly.io;Google Cloud,React,"Information Services, IT, Software Development, or other Technology",ChatGPT,GitHub Copilot;Rubber Duck.AI,"Employed, full-time"
Durban Campus,Information Technology,I am a developer by profession,Blockchain,"Associate degree (A.A., A.S., etc.)",JavaScript,SQL,Amazon Web Services (AWS),Express;Node.js,Wholesale,ChatGPT,Adrenaline;AWS CodeWhisperer;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI,"Employed, full-time"
Tyger Valley Campus,CS,I am a developer by profession,"Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS);Digital Ocean,Unknown,Healthcare,ChatGPT,AWS CodeWhisperer;Codeium;GitHub Copilot,"Employed, full-time"
Tyger Valley Campus,CS,I am a developer by profession,"Senior Executive (C-Suite, VP, etc.)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;Rust;Swift,SQL,Amazon Web Services (AWS);Firebase;Google Cloud;Heroku;Linode,ASP.NET CORE;Ruby on Rails,Oil & Gas,ChatGPT,GitHub Copilot;Synk Code;Whispr AI,"Employed, full-time"
Tyger Valley Campus,CS,I am a developer by profession,"Senior Executive (C-Suite, VP, etc.)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;Rust;Swift,SQL,now Akamai,ASP.NET CORE;Ruby on Rails,Oil & Gas,ChatGPT,GitHub Copilot;Synk Code;Whispr AI,"Employed, full-time"
Nelson Mandela Bay Campus,DS,I am a developer by profession,"Developer, full-stack",Some college/university study without earning a degree,JavaScript,SQL,Vultr,Vue.js,Retail and Consumer Services,Unknown,Codeium;GitHub Copilot;Synk Code,"Employed, full-time"
Durban Campus,DS,I am a developer by profession,Engineering manager,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Go;Java;Rust;TypeScript,SQL,Amazon Web Services (AWS);Cloudflare;Google Cloud,NestJS,"Information Services, IT, Software Development, or other Technology",Unknown,Adrenaline;AWS CodeWhisperer;GitHub Copilot,"Employed, full-time"
Durban Campus,CS,I am a developer by profession,Research & Development role,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Unknown,React,Retail and Consumer Services,ChatGPT;WolframAlpha,AWS CodeWhisperer;GitHub Copilot;Tabnine;Whispr AI,"Student, full-time;Employed, part-time"
Pretoria Campus,Information Technology,I am a developer by profession,"Developer, front-end",Some college/university study without earning a degree,JavaScript,SQL,Amazon Web Services (AWS);Firebase;Heroku;Render,Angular,Retail and Consumer Services,Bing AI;ChatGPT,Codeium,"Independent contractor, freelancer, or self-employed"
Durban Campus,CS,I am a developer by profession,"Developer, desktop or enterprise applications",Some college/university study without earning a degree,JavaScript,Unknown,Unknown,Unknown,Healthcare,Unknown,GitHub Copilot;Replit Ghostwriter,"Employed, full-time"
Durban Campus,DS,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Unknown,jQuery;Spring Boot,Retail and Consumer Services,Unknown,Adrenaline;AWS CodeWhisperer;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI,"Employed, full-time"
Pretoria Campus,CS,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Google Cloud,Angular,"Information Services, IT, Software Development, or other Technology",Unknown,Adrenaline;GitHub Copilot,"Employed, full-time"
Midrand Campus,Information Technology,I am a developer by profession,Project manager,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Cloudflare;Google Cloud;Netlify,Vue.js,Healthcare,ChatGPT,AWS CodeWhisperer;GitHub Copilot;Mintlify,"Employed, full-time"
Nelson Mandela Bay Campus,DS,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS),jQuery;Spring Boot,Oil & Gas,ChatGPT,Adrenaline;Synk Code;Whispr AI,"Employed, full-time"
Midrand Campus,CS,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",SQL,SQL,Google Cloud;Microsoft Azure,Unknown,Healthcare,ChatGPT;Google Bard AI,Adrenaline;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI,"Employed, full-time"
Tyger Valley Campus,DS,"I am not primarily a developer, but I write code sometimes as part of my work/studies",DevOps specialist,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",SQL,SQL,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Node.js,Oil & Gas,Unknown,Synk Code;Tabnine,"Employed, full-time"
Pretoria Campus,CS,"I used to be a developer by profession, but no longer am",Other (please specify):,Some college/university study without earning a degree,JavaScript,Unknown,Heroku;Vercel,React,"Manufacturing, Transportation, or Supply Chain",ChatGPT;Phind,Adrenaline;AWS CodeWhisperer,"Not employed, but looking for work"
Midrand Campus,CS,I am a developer by profession,"Developer, full-stack",Some college/university study without earning a degree,JavaScript,SQL,Amazon Web Services (AWS);Managed Hosting;Microsoft Azure;VMware,Angular,Other,WolframAlpha,Adrenaline;AWS CodeWhisperer;Codeium;Mintlify;Rubber Duck.AI;Synk Code;Tabnine,"Employed, full-time"
Tyger Valley Campus,CS,I am a developer by profession,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,SQL,Amazon Web Services (AWS),jQuery;Node.js;Spring Boot,Legal Services,Unknown,Codeium;Synk Code;Whispr AI,"Employed, full-time"
Pretoria Campus,DS,I am a developer by profession,"Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS,SQL,Microsoft Azure,Angular,"Information Services, IT, Software Development, or other Technology",Unknown,AWS CodeWhisperer;Replit Ghostwriter,"Employed, full-time"
Durban Campus,CS,I am a developer by profession,"Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud;Microsoft Azure,React,Wholesale,ChatGPT,AWS CodeWhisperer;Codeium;GitHub Copilot;Tabnine;Whispr AI,"Employed, full-time"
Pretoria Campus,Information Technology,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Hardware Engineer,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python,Unknown,Unknown,Unknown,Financial Services,Unknown,AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Rubber Duck.AI,"Employed, full-time"
Durban Campus,CS,I am a developer by profession,"Developer, full-stack",Primary/elementary school,JavaScript,SQL,Amazon Web Services (AWS),Vue.js,Other,ChatGPT,AWS CodeWhisperer;Codeium;GitHub Copilot;Synk Code;Tabnine,"Employed, full-time"
Durban Campus,DS,I am a developer by profession,Data scientist or machine learning specialist,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,Neo4J;Redis,Amazon Web Services (AWS),Node.js;Spring Boot,Other,Perplexity AI;Phind,GitHub Copilot;Synk Code;Tabnine;Whispr AI,"Employed, full-time"
Durban Campus,Information Technology,I am a developer by profession,Research & Development role,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C#,SQL,Amazon Web Services (AWS);Microsoft Azure,ASP.NET;ASP.NET CORE;jQuery,Healthcare,ChatGPT,Synk Code;Tabnine;Whispr AI,"Employed, full-time"
Tyger Valley Campus,DS,I am learning to code,Student,Some college/university study without earning a degree,JavaScript,SQL,Amazon Web Services (AWS),jQuery;Node.js;WordPress,Oil & Gas,ChatGPT,Codeium;Replit Ghostwriter,"Employed, full-time"
Midrand Campus,DS,I am a developer by profession,"Developer, desktop or enterprise applications",Some college/university study without earning a degree,JavaScript,SQL,Amazon Web Services (AWS);Digital Ocean;Fly.io;Google Cloud;Linode,Node.js,"Manufacturing, Transportation, or Supply Chain",Unknown,AWS CodeWhisperer;Codeium;GitHub Copilot,"Employed, full-time"
Midrand Campus,DS,I am a developer by profession,"Developer, desktop or enterprise applications",Some college/university study without earning a degree,JavaScript,SQL,now Akamai;Vultr,Node.js,"Manufacturing, Transportation, or Supply Chain",Unknown,AWS CodeWhisperer;Codeium;GitHub Copilot,"Employed, full-time"
Durban Campus,Information Technology,I am a developer by profession,Engineering manager,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS);Microsoft Azure,React,Other,ChatGPT,AWS CodeWhisperer;Whispr AI,"Employed, full-time"
Durban Campus,DS,I am a developer by profession,Scientist,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Python,SQL,Microsoft Azure;Oracle Cloud Infrastructure (OCI),Unknown,Wholesale,WolframAlpha,GitHub Copilot;Synk Code,"Employed, full-time"
Durban Campus,DS,I am a developer by profession,"Developer, back-end",Some college/university study without earning a degree,JavaScript,SQL,Heroku;Microsoft Azure;OpenShift,Angular,Higher Education,ChatGPT,GitHub Copilot;Replit Ghostwriter,"Employed, full-time"
Nelson Mandela Bay Campus,DS,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS);Cloudflare,React,Higher Education,Unknown,AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Rubber Duck.AI,"Employed, full-time"
Durban Campus,CS,I am a developer by profession,"Developer, desktop or enterprise applications","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,MongoDB,Microsoft Azure,React,Retail and Consumer Services,Unknown,AWS CodeWhisperer;GitHub Copilot;Mintlify,"Employed, full-time"
Durban Campus,Information Technology,I am a developer by profession,"Developer, full-stack",Some college/university study without earning a degree,JavaScript,SQL,Amazon Web Services (AWS);Cloudflare;Google Cloud;Linode,jQuery,Wholesale,ChatGPT;Perplexity AI,Synk Code,"Employed, full-time"
Durban Campus,Information Technology,I am a developer by profession,"Developer, full-stack",Some college/university study without earning a degree,JavaScript,SQL,now Akamai;VMware;Vultr,jQuery,Wholesale,ChatGPT;Perplexity AI,Synk Code,"Employed, full-time"
Pretoria Campus,CS,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS);Digital Ocean;Microsoft Azure;Netlify,React,Healthcare,ChatGPT,Codeium;GitHub Copilot;Tabnine,"Employed, full-time"
Durban Campus,DS,I am a developer by profession,"Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",JavaScript,SQL,Firebase;Heroku,React,Other,ChatGPT,Replit Ghostwriter;Tabnine,"Employed, full-time"
Pretoria Campus,CS,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,SQL,Amazon Web Services (AWS);Microsoft Azure,React,"Manufacturing, Transportation, or Supply Chain",ChatGPT,Tabnine,"Employed, full-time"
Pretoria Campus,CS,I am a developer by profession,"Developer, back-end",Some college/university study without earning a degree,SQL,Unknown,Microsoft Azure,ASP.NET;ASP.NET CORE,Healthcare,Unknown,AWS CodeWhisperer,"Employed, full-time"
Durban Campus,CS,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS);Microsoft Azure,Unknown,Advertising Services,Unknown,GitHub Copilot;Replit Ghostwriter;Whispr AI,"Employed, full-time"
Pretoria Campus,Information Technology,I am a developer by profession,"Developer, QA or test","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,SQL,Google Cloud,ASP.NET CORE;Blazor;FastAPI,Oil & Gas,Bing AI;ChatGPT,AWS CodeWhisperer,"Employed, full-time"
Nelson Mandela Bay Campus,Information Technology,I am learning to code,"Developer, desktop or enterprise applications",Primary/elementary school,JavaScript,SQL,Amazon Web Services (AWS);Cloudflare;Colocation;Digital Ocean;Firebase;Fly.io;Google Cloud;Heroku;Hetzner;IBM Cloud Or Watson;Linode,React,Oil & Gas,Andi;Bing AI;ChatGPT;Google Bard AI;Metaphor;Neeva AI;Perplexity AI;Phind;Quora Poe;WolframAlpha;You.com,AWS CodeWhisperer;GitHub Copilot;Tabnine,"Independent contractor, freelancer, or self-employed"
Nelson Mandela Bay Campus,Information Technology,I am learning to code,"Developer, desktop or enterprise applications",Primary/elementary school,JavaScript,SQL,now Akamai;Managed Hosting;Microsoft Azure;Netlify;OpenShift;OpenStack;Oracle Cloud Infrastructure (OCI);OVH;Render;Scaleway;Vercel;VMware;Vultr,React,Oil & Gas,Andi;Bing AI;ChatGPT;Google Bard AI;Metaphor;Neeva AI;Perplexity AI;Phind;Quora Poe;WolframAlpha;You.com,AWS CodeWhisperer;GitHub Copilot;Tabnine,"Independent contractor, freelancer, or self-employed"
Durban Campus,CS,I am a developer by profession,"Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,Unknown,Cloudflare,Vue.js,Legal Services,Unknown,Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter,"Employed, full-time"
Durban Campus,Information Technology,I am a developer by profession,"Developer, full-stack",Some college/university study without earning a degree,JavaScript,SQL,Unknown,React,Other,WolframAlpha;You.com,AWS CodeWhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine,"Not employed, but looking for work;Student, full-time"
Nelson Mandela Bay Campus,CS,I am a developer by profession,"Developer, embedded applications or devices","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python,Snowflake,Amazon Web Services (AWS);Firebase;Google Cloud,Deno,Oil & Gas,Unknown,AWS CodeWhisperer;GitHub Copilot;Mintlify,"Employed, full-time;Independent contractor, freelancer, or self-employed"
Nelson Mandela Bay Campus,DS,I am a developer by profession,"Developer, embedded applications or devices","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python,SQL,Unknown,Unknown,Healthcare,Unknown,Adrenaline;GitHub Copilot;Tabnine,"Employed, full-time"
Durban Campus,DS,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS);Google Cloud,Unknown,"Manufacturing, Transportation, or Supply Chain",Bing AI;ChatGPT,Codeium;Synk Code;Whispr AI,"Independent contractor, freelancer, or self-employed"
Nelson Mandela Bay Campus,Information Technology,I am a developer by profession,"Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python,Unknown,Google Cloud;Linode,Unknown,"Information Services, IT, Software Development, or other Technology",Unknown,Codeium;Synk Code;Whispr AI,"Employed, full-time"
Nelson Mandela Bay Campus,Information Technology,I am a developer by profession,"Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python,Unknown,now Akamai,Unknown,"Information Services, IT, Software Development, or other Technology",Unknown,Codeium;Synk Code;Whispr AI,"Employed, full-time"
Tyger Valley Campus,DS,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS);Firebase;Heroku,Vue.js,Healthcare,ChatGPT,AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Tabnine;Whispr AI,"Employed, full-time"
Midrand Campus,DS,I am a developer by profession,"Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS);Cloudflare;Microsoft Azure;Vultr,React,Advertising Services,ChatGPT;Quora Poe,Codeium;GitHub Copilot,"Employed, full-time"
Durban Campus,Information Technology,I am a developer by profession,"Developer, full-stack",Some college/university study without earning a degree,JavaScript,Elasticsearch;MariaDB;MongoDB;Redis,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Heroku;Netlify,React,Healthcare,ChatGPT,AWS CodeWhisperer;Synk Code;Whispr AI,"Independent contractor, freelancer, or self-employed"
Midrand Campus,Information Technology,I am a developer by profession,Other (please specify):,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS,H2;InfluxDB,Unknown,Spring Boot,Other,Unknown,Synk Code;Tabnine,"Employed, full-time"
Midrand Campus,DS,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS),React,Higher Education,Unknown,AWS CodeWhisperer;Tabnine,"Employed, full-time"
Midrand Campus,Information Technology,I am a developer by profession,"Developer, embedded applications or devices","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python,Unknown,Unknown,Unknown,Healthcare,Unknown,AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Tabnine,"Employed, full-time"
Tyger Valley Campus,DS,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Java;TypeScript,SQL,Amazon Web Services (AWS);Cloudflare,React,Wholesale,Unknown,AWS CodeWhisperer;Codeium;Tabnine;Whispr AI,"Not employed, but looking for work"
Pretoria Campus,CS,I am a developer by profession,"Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python,Cloud Firestore,Firebase;Google Cloud,Unknown,Financial Services,Unknown,GitHub Copilot;Rubber Duck.AI,"Employed, full-time;Student, full-time"
Pretoria Campus,DS,I am a developer by profession,"Senior Executive (C-Suite, VP, etc.)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Rust,SQL,Amazon Web Services (AWS);Heroku;Microsoft Azure,React,Legal Services,Bing AI,Adrenaline;GitHub Copilot;Rubber Duck.AI,"Employed, full-time"
Nelson Mandela Bay Campus,Information Technology,I am a developer by profession,"Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Dart;Java;Kotlin;Objective-C;Rust;Swift,SQL,Unknown,Unknown,"Information Services, IT, Software Development, or other Technology",Unknown,GitHub Copilot;Synk Code,"Employed, full-time"
Tyger Valley Campus,Information Technology,I am a developer by profession,Research & Development role,Something else,JavaScript,SQL,Microsoft Azure;VMware,React,Oil & Gas,Bing AI;ChatGPT;WolframAlpha,Synk Code;Tabnine;Whispr AI,"Employed, full-time"
Pretoria Campus,CS,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Microsoft Azure,React,Oil & Gas,Bing AI;ChatGPT,AWS CodeWhisperer;Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine,"Employed, full-time"
Pretoria Campus,DS,I am a developer by profession,Developer Experience,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Scala,Unknown,Unknown,Node.js,Healthcare,ChatGPT,AWS CodeWhisperer;Codeium;GitHub Copilot;Synk Code;Tabnine,"Independent contractor, freelancer, or self-employed"
Midrand Campus,CS,I am a developer by profession,Academic researcher,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,SQL,Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud;Heroku;OpenShift;VMware,Angular,Advertising Services,ChatGPT,AWS CodeWhisperer;Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine,"Employed, full-time"
